# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.12500000e-02
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2000.25         	1.74754041e+00	8.73770219e-01	8.73770189e-01	3.61061941e-02	4.37770356e+00	-4.34159737e+00	4.35965046e+00	1.51866355e-08	3.87792155e-09	-5.04804509e-09	1.35389900e-09	-6.40194409e-09
2000.5          	1.74789488e+00	8.73947453e-01	8.73947423e-01	2.79567669e-02	4.36995149e+00	-4.34199472e+00	4.35597310e+00	1.51808651e-08	3.87731345e-09	-5.04626505e-09	1.35418093e-09	-6.40044598e-09
2000.75         	1.74828654e+00	8.74143285e-01	8.74143255e-01	1.98295160e-02	4.36231308e+00	-4.34248356e+00	4.35239832e+00	1.51750311e-08	3.87664338e-09	-5.04445457e-09	1.35441610e-09	-6.39887066e-09
2001            	1.74867972e+00	8.74339876e-01	8.74339845e-01	1.17090016e-02	4.35470362e+00	-4.34299462e+00	4.34884912e+00	1.51691367e-08	3.87591184e-09	-5.04261455e-09	1.35460457e-09	-6.39721912e-09
2001.25         	1.74904904e+00	8.74524535e-01	8.74524505e-01	3.61876442e-03	4.34706961e+00	-4.34345084e+00	4.34526023e+00	1.51631860e-08	3.87511943e-09	-5.04074619e-09	1.35474633e-09	-6.39549252e-09
2001.5          	1.74941972e+00	8.74709873e-01	8.74709842e-01	-4.45227751e-03	4.33947041e+00	-4.34392268e+00	4.34169655e+00	1.51571847e-08	3.87426676e-09	-5.03885128e-09	1.35484112e-09	-6.39369240e-09
2001.75         	1.74987173e+00	8.74935878e-01	8.74935848e-01	-1.24360813e-02	4.33215839e+00	-4.34459447e+00	4.33837643e+00	1.51511394e-08	3.87335471e-09	-5.03693190e-09	1.35488876e-09	-6.39182066e-09
2002            	1.75032129e+00	8.75160658e-01	8.75160627e-01	-2.03619144e-02	4.32490889e+00	-4.34527081e+00	4.33508985e+00	1.51450549e-08	3.87238403e-09	-5.03498953e-09	1.35488927e-09	-6.38987879e-09
2002.25         	1.75077546e+00	8.75387744e-01	8.75387714e-01	-2.82493880e-02	4.31771902e+00	-4.34596841e+00	4.33184371e+00	1.51389350e-08	3.87135556e-09	-5.03302529e-09	1.35484291e-09	-6.38786820e-09
2002.5          	1.75123534e+00	8.75617685e-01	8.75617655e-01	-3.60646220e-02	4.31062300e+00	-4.34668762e+00	4.32865531e+00	1.51327833e-08	3.87026999e-09	-5.03104017e-09	1.35474990e-09	-6.38579007e-09
2002.75         	1.75170525e+00	8.75852643e-01	8.75852612e-01	-4.38079464e-02	4.30363125e+00	-4.34743920e+00	4.32553523e+00	1.51266033e-08	3.86912806e-09	-5.02903534e-09	1.35461039e-09	-6.38364573e-09
2003            	1.75217506e+00	8.76087548e-01	8.76087517e-01	-5.14722264e-02	4.29672368e+00	-4.34819591e+00	4.32245980e+00	1.51203978e-08	3.86793054e-09	-5.02701146e-09	1.35442481e-09	-6.38143628e-09
2003.25         	1.75265431e+00	8.76327172e-01	8.76327142e-01	-5.90590863e-02	4.28992455e+00	-4.34898363e+00	4.31945409e+00	1.51141709e-08	3.86667823e-09	-5.02496993e-09	1.35419326e-09	-6.37916319e-09
2003.5          	1.75315375e+00	8.76576889e-01	8.76576858e-01	-6.65733808e-02	4.28325549e+00	-4.34982887e+00	4.31654218e+00	1.51079272e-08	3.86537181e-09	-5.02291217e-09	1.35391572e-09	-6.37682789e-09
2003.75         	1.75367148e+00	8.76835757e-01	8.76835727e-01	-7.39868981e-02	4.27674439e+00	-4.35073129e+00	4.31373784e+00	1.51016707e-08	3.86401206e-09	-5.02083939e-09	1.35359236e-09	-6.37443175e-09
2004            	1.75419059e+00	8.77095311e-01	8.77095281e-01	-8.13051291e-02	4.27033833e+00	-4.35164346e+00	4.31099090e+00	1.50954040e-08	3.86259998e-09	-5.01875229e-09	1.35322384e-09	-6.37197613e-09
2004.25         	1.75472490e+00	8.77362467e-01	8.77362437e-01	-8.85274910e-02	4.26407671e+00	-4.35260420e+00	4.30834046e+00	1.50891307e-08	3.86113662e-09	-5.01665188e-09	1.35281068e-09	-6.36946256e-09
2004.5          	1.75526355e+00	8.77631788e-01	8.77631758e-01	-9.56518344e-02	4.25793271e+00	-4.35358454e+00	4.30575863e+00	1.50828576e-08	3.85962298e-09	-5.01454050e-09	1.35235273e-09	-6.36689324e-09
2004.75         	1.75583036e+00	8.77915193e-01	8.77915163e-01	-1.02672302e-01	4.25197448e+00	-4.35464679e+00	4.30331063e+00	1.50765909e-08	3.85805997e-09	-5.01242018e-09	1.35184988e-09	-6.36427006e-09
2005            	1.75635570e+00	8.78177866e-01	8.78177836e-01	-1.09594564e-01	4.24602121e+00	-4.35561578e+00	4.30081850e+00	1.50703344e-08	3.85644863e-09	-5.01029206e-09	1.35130260e-09	-6.36159466e-09
2005.25         	1.75691284e+00	8.78456434e-01	8.78456404e-01	-1.16387671e-01	4.24028760e+00	-4.35667527e+00	4.29848144e+00	1.50640913e-08	3.85478999e-09	-5.00815715e-09	1.35071142e-09	-6.35886857e-09
